alert_id,date_detected,date_resolved,severity,alert_type,mitre_tactic,detection_source,source_ip,destination_ip,target_system,department,analyst_assigned,status,is_true_positive,resolution_time_hours
ALT-00130,2026-03-19 12:36:28,2026-03-19 16:47:52,High,DDoS Traffic,Impact,Elastic SIEM,149.221.79.210,10.0.30.205,Database Server (SQL),IT,Nouf Al-Harbi,Resolved,Yes,4.19
ALT-00131,2026-03-19 16:44:30,2026-03-23 09:29:30,Low,Privilege Escalation,Privilege Escalation,Firewall/IDS,29.106.112.230,10.0.6.117,Database Server (SQL),IT,Lama Al-Ghamdi,Resolved,Yes,88.75
ALT-00132,2026-03-19 18:34:13,2026-03-20 01:25:49,High,Data Exfiltration Attempt,Exfiltration,Email Gateway,10.0.0.14,10.0.24.98,File Server,Operations,Sara Alzahrani,Resolved,Yes,6.86
ALT-00133,2026-03-19 18:37:56,2026-03-21 02:03:44,Medium,Brute Force Login,Credential Access,Proxy Logs,125.122.89.157,10.0.22.11,Database Server (SQL),IT,Faisal Al-Qahtani,Resolved,Yes,31.43
ALT-00134,2026-03-20 10:12:36,2026-03-21 05:12:00,Low,Data Exfiltration Attempt,Exfiltration,Proxy Logs,10.0.12.177,10.0.19.50,Web Server 01,IT,Nouf Al-Harbi,Resolved,Yes,18.99
ALT-00135,2026-03-20 12:21:17,2026-03-21 09:56:05,Low,Suspicious PowerShell,Execution,Email Gateway,10.0.13.127,10.0.17.196,Finance ERP App,Finance,Sara Alzahrani,Resolved,Yes,21.58
ALT-00136,2026-03-20 12:24:06,,High,Unauthorized Access,Initial Access,Firewall/IDS,33.103.122.193,10.0.19.152,HR Portal,HR,Omar Al-Dosari,In Progress,Yes,
ALT-00137,2026-03-20 14:44:48,2026-03-20 22:46:36,Medium,Unauthorized Access,Initial Access,Firewall/IDS,78.51.138.206,10.0.7.144,VPN Gateway,IT,Omar Al-Dosari,Resolved,Yes,8.03
ALT-00138,2026-03-20 16:52:17,,Low,Suspicious PowerShell,Execution,Wireshark,10.0.24.148,10.0.5.108,Executive Laptop,Executive,Lama Al-Ghamdi,In Progress,Yes,
ALT-00139,2026-03-20 20:03:33,2026-03-20 21:21:33,Low,Phishing Email,Initial Access,Proxy Logs,79.34.77.3,10.0.6.131,Employee Workstation,Operations,Sara Alzahrani,False Positive,No,1.3
ALT-00140,2026-03-20 21:15:10,2026-03-22 03:52:58,Low,Policy Violation,N/A,Wireshark,10.0.18.128,10.0.11.172,Sales CRM,Sales,Omar Al-Dosari,Resolved,Yes,30.63
ALT-00141,2026-03-21 12:01:14,2026-03-21 21:47:26,Medium,C2 Communication,Command and Control,Wireshark,10.0.20.204,10.0.1.98,Web Server 01,IT,Sara Alzahrani,Resolved,Yes,9.77
ALT-00142,2026-03-21 17:31:54,,Critical,Privilege Escalation,Privilege Escalation,Firewall/IDS,28.19.247.181,10.0.11.30,Sales CRM,Sales,Omar Al-Dosari,In Progress,Yes,
ALT-00143,2026-03-21 18:23:08,2026-03-24 04:40:32,Low,Unauthorized Access,Initial Access,Proxy Logs,10.0.12.252,10.0.13.83,Executive Laptop,Executive,Sara Alzahrani,Resolved,Yes,58.29
ALT-00144,2026-03-21 19:03:55,2026-03-25 15:44:07,Low,Unauthorized Access,Initial Access,Wireshark,146.209.251.107,10.0.22.217,Database Server (SQL),IT,Faisal Al-Qahtani,Escalated,Yes,92.67
ALT-00145,2026-03-22 10:55:04,2026-03-22 15:09:28,Low,Brute Force Login,Credential Access,Firewall/IDS,170.250.76.115,10.0.17.125,VPN Gateway,IT,Lama Al-Ghamdi,Resolved,Yes,4.24
ALT-00146,2026-03-22 15:25:15,2026-03-23 07:42:03,High,Malware Detected,Execution,Elastic SIEM,138.25.127.235,10.0.27.33,Email Gateway,IT,Omar Al-Dosari,Resolved,Yes,16.28
ALT-00147,2026-03-22 17:48:03,2026-03-24 14:51:39,Medium,Suspicious PowerShell,Execution,Email Gateway,10.0.0.72,10.0.25.54,Database Server (SQL),IT,Sara Alzahrani,Resolved,Yes,45.06
ALT-00148,2026-03-22 18:04:11,2026-03-23 21:40:11,Medium,Malware Detected,Execution,EDR Agent,10.0.18.218,10.0.8.3,Employee Workstation,Operations,Sara Alzahrani,Resolved,Yes,27.6
ALT-00149,2026-03-22 18:57:25,2026-03-23 11:53:49,Low,Port Scan,Reconnaissance,EDR Agent,10.0.7.3,10.0.8.100,Employee Workstation,Operations,Sara Alzahrani,Resolved,Yes,16.94
ALT-00150,2026-03-23 15:06:15,2026-03-26 23:27:51,Low,Port Scan,Reconnaissance,Firewall/IDS,10.0.0.146,10.0.27.177,Executive Laptop,Executive,Nouf Al-Harbi,Resolved,Yes,80.36
ALT-00151,2026-03-23 16:05:59,2026-03-23 22:59:59,High,Data Exfiltration Attempt,Exfiltration,Proxy Logs,139.240.118.243,10.0.7.38,Employee Workstation,Operations,Omar Al-Dosari,Resolved,Yes,6.9
ALT-00152,2026-03-24 10:59:28,2026-03-26 00:42:04,Medium,Suspicious PowerShell,Execution,EDR Agent,117.160.201.157,10.0.30.192,HR Portal,HR,Faisal Al-Qahtani,Resolved,Yes,37.71
ALT-00153,2026-03-24 12:07:14,2026-03-27 13:42:02,Low,Port Scan,Reconnaissance,Proxy Logs,122.182.243.171,10.0.19.245,Finance ERP App,Finance,Lama Al-Ghamdi,Resolved,Yes,73.58
ALT-00154,2026-03-24 17:57:28,2026-03-25 08:06:28,High,Malware Detected,Execution,Wireshark,51.10.22.27,10.0.17.77,Database Server (SQL),IT,Faisal Al-Qahtani,Resolved,Yes,14.15
ALT-00155,2026-03-25 13:04:09,2026-03-27 21:35:57,Low,Brute Force Login,Credential Access,EDR Agent,10.0.19.31,10.0.27.202,HR Portal,HR,Lama Al-Ghamdi,Escalated,Yes,56.53
ALT-00156,2026-03-25 13:17:13,2026-03-27 00:41:49,Medium,Suspicious PowerShell,Execution,Wireshark,10.0.28.124,10.0.2.128,VPN Gateway,IT,Omar Al-Dosari,Resolved,Yes,35.41
ALT-00157,2026-03-25 17:46:40,,Low,Policy Violation,N/A,Proxy Logs,93.218.162.67,10.0.16.149,Database Server (SQL),IT,Lama Al-Ghamdi,In Progress,Yes,
ALT-00158,2026-03-25 18:21:10,2026-03-25 21:16:22,High,Suspicious PowerShell,Execution,Wireshark,10.0.27.139,10.0.6.75,VPN Gateway,IT,Omar Al-Dosari,False Positive,No,2.92
ALT-00159,2026-03-26 12:21:35,2026-03-27 01:15:35,High,Suspicious PowerShell,Execution,Firewall/IDS,24.63.80.113,10.0.14.2,Database Server (SQL),IT,Sara Alzahrani,Resolved,Yes,12.9
ALT-00160,2026-03-26 13:13:26,2026-03-29 22:01:26,Low,DDoS Traffic,Impact,Wireshark,10.0.5.173,10.0.25.147,Web Server 01,IT,Faisal Al-Qahtani,Resolved,Yes,80.8
ALT-00161,2026-03-26 14:17:48,2026-03-26 14:32:48,Medium,Port Scan,Reconnaissance,EDR Agent,77.35.20.194,10.0.0.245,Employee Workstation,Operations,Sara Alzahrani,False Positive,No,0.25
ALT-00162,2026-03-26 16:17:45,,Low,Suspicious PowerShell,Execution,Elastic SIEM,131.162.163.51,10.0.6.14,File Server,Operations,Lama Al-Ghamdi,In Progress,Yes,
ALT-00163,2026-03-26 20:52:19,2026-03-28 14:59:31,Low,Policy Violation,N/A,Proxy Logs,10.0.16.118,10.0.21.197,VPN Gateway,IT,Lama Al-Ghamdi,Resolved,Yes,42.12
ALT-00164,2026-03-28 04:16:19,2026-03-30 05:31:19,Low,DDoS Traffic,Impact,Elastic SIEM,82.14.61.196,10.0.8.128,Database Server (SQL),IT,Nouf Al-Harbi,Resolved,Yes,49.25
ALT-00165,2026-03-28 09:22:04,2026-03-28 19:33:28,Medium,Suspicious PowerShell,Execution,Elastic SIEM,173.92.217.39,10.0.28.172,HR Portal,HR,Sara Alzahrani,Resolved,Yes,10.19
ALT-00166,2026-03-28 09:50:32,2026-03-29 03:37:20,High,Malware Detected,Execution,EDR Agent,104.184.150.56,10.0.30.194,Sales CRM,Sales,Sara Alzahrani,Resolved,Yes,17.78
ALT-00167,2026-03-28 12:02:40,,Low,Malware Detected,Execution,Wireshark,10.0.7.212,10.0.6.138,Finance ERP App,Finance,Nouf Al-Harbi,In Progress,Yes,
ALT-00168,2026-03-28 14:17:53,2026-03-28 22:07:05,High,Unauthorized Access,Initial Access,Firewall/IDS,10.0.17.29,10.0.5.167,POS Terminal,Sales,Omar Al-Dosari,Resolved,Yes,7.82
ALT-00169,2026-03-28 14:22:19,2026-03-28 21:21:07,Critical,C2 Communication,Command and Control,Wireshark,91.179.204.174,10.0.26.139,File Server,Operations,Omar Al-Dosari,Resolved,Yes,6.98
ALT-00170,2026-03-28 14:34:28,,Critical,Unauthorized Access,Initial Access,Firewall/IDS,208.115.216.246,10.0.2.236,Domain Controller,IT,Sara Alzahrani,In Progress,Yes,
ALT-00171,2026-03-28 15:58:42,2026-03-28 22:28:06,Medium,Unauthorized Access,Initial Access,Proxy Logs,10.0.8.187,10.0.25.145,Web Server 01,IT,Lama Al-Ghamdi,Resolved,Yes,6.49
ALT-00172,2026-03-29 12:32:43,2026-03-30 13:36:55,Medium,Port Scan,Reconnaissance,Firewall/IDS,140.149.231.159,10.0.11.206,Employee Workstation,Operations,Nouf Al-Harbi,Resolved,Yes,25.07
ALT-00173,2026-03-30 09:13:10,2026-03-31 22:40:46,Medium,Port Scan,Reconnaissance,EDR Agent,41.53.134.159,10.0.4.23,Employee Workstation,Operations,Lama Al-Ghamdi,Resolved,Yes,37.46
ALT-00174,2026-03-30 18:37:42,,High,C2 Communication,Command and Control,Wireshark,38.30.84.203,10.0.9.154,Sales CRM,Sales,Faisal Al-Qahtani,In Progress,Yes,
ALT-00175,2026-03-31 08:52:21,2026-03-31 21:40:21,Low,Policy Violation,N/A,Email Gateway,51.43.31.235,10.0.1.98,Employee Workstation,Operations,Lama Al-Ghamdi,Resolved,Yes,12.8
ALT-00176,2026-03-31 10:12:01,2026-04-01 08:15:37,Medium,C2 Communication,Command and Control,EDR Agent,29.103.81.70,10.0.4.9,Finance ERP App,Finance,Omar Al-Dosari,Resolved,Yes,22.06
ALT-00177,2026-03-31 10:30:24,2026-04-01 08:32:12,Medium,Malicious Macro,Execution,Email Gateway,159.120.88.170,10.0.21.21,POS Terminal,Sales,Omar Al-Dosari,Escalated,Yes,22.03
ALT-00178,2026-03-31 13:19:37,2026-03-31 13:36:25,High,Privilege Escalation,Privilege Escalation,Proxy Logs,10.0.9.42,10.0.12.177,Finance ERP App,Finance,Nouf Al-Harbi,False Positive,No,0.28
ALT-00179,2026-03-31 15:13:55,,Low,Port Scan,Reconnaissance,EDR Agent,10.0.25.202,10.0.14.75,Web Server 01,IT,Sara Alzahrani,In Progress,Yes,
ALT-00180,2026-03-31 15:28:50,2026-04-01 03:31:50,High,Phishing Email,Initial Access,EDR Agent,155.176.217.191,10.0.17.86,Domain Controller,IT,Faisal Al-Qahtani,Resolved,Yes,12.05
ALT-00181,2026-03-31 16:24:07,2026-03-31 17:07:19,Critical,Brute Force Login,Credential Access,Email Gateway,24.137.51.64,10.0.24.144,Database Server (SQL),IT,Omar Al-Dosari,Resolved,Yes,0.72
ALT-00182,2026-03-31 17:36:02,2026-04-04 12:24:02,Low,Suspicious PowerShell,Execution,Elastic SIEM,10.0.11.194,10.0.9.247,Database Server (SQL),IT,Sara Alzahrani,Resolved,Yes,90.8
ALT-00183,2026-04-01 01:32:14,2026-04-04 07:15:26,Low,Policy Violation,N/A,Wireshark,147.228.161.31,10.0.15.192,VPN Gateway,IT,Sara Alzahrani,Resolved,Yes,77.72
ALT-00184,2026-04-01 12:54:27,2026-04-02 03:11:15,Medium,Port Scan,Reconnaissance,Proxy Logs,10.0.5.67,10.0.21.155,Employee Workstation,Operations,Faisal Al-Qahtani,Escalated,Yes,14.28
ALT-00185,2026-04-01 14:00:39,2026-04-01 21:51:39,High,Unauthorized Access,Initial Access,Wireshark,159.10.199.224,10.0.15.13,VPN Gateway,IT,Sara Alzahrani,Resolved,Yes,7.85
ALT-00186,2026-04-01 17:28:05,2026-04-05 11:22:41,Low,Policy Violation,N/A,Email Gateway,10.0.5.108,10.0.0.222,VPN Gateway,IT,Sara Alzahrani,Resolved,Yes,89.91
ALT-00187,2026-04-01 18:24:10,2026-04-01 22:09:46,Critical,Malware Detected,Execution,EDR Agent,143.39.184.65,10.0.30.65,Finance ERP App,Finance,Faisal Al-Qahtani,Resolved,Yes,3.76
ALT-00188,2026-04-02 11:48:53,2026-04-02 13:00:17,Medium,DDoS Traffic,Impact,Email Gateway,10.0.25.227,10.0.24.25,Web Server 01,IT,Nouf Al-Harbi,False Positive,No,1.19
ALT-00189,2026-04-02 12:04:40,2026-04-03 00:58:40,High,DDoS Traffic,Impact,EDR Agent,10.0.8.65,10.0.3.123,Database Server (SQL),IT,Sara Alzahrani,Resolved,Yes,12.9
ALT-00190,2026-04-02 12:05:36,2026-04-02 14:29:36,Low,Port Scan,Reconnaissance,Proxy Logs,10.0.26.232,10.0.22.181,Domain Controller,IT,Sara Alzahrani,False Positive,No,2.4
ALT-00191,2026-04-02 12:55:08,2026-04-05 17:41:20,Low,Policy Violation,N/A,Wireshark,62.198.191.128,10.0.16.120,Database Server (SQL),IT,Sara Alzahrani,Escalated,Yes,76.77
ALT-00192,2026-04-02 19:09:15,2026-04-03 01:01:27,High,Malware Detected,Execution,Email Gateway,10.0.19.157,10.0.30.193,Employee Workstation,Operations,Faisal Al-Qahtani,Resolved,Yes,5.87
ALT-00193,2026-04-03 08:33:59,2026-04-03 19:00:23,Low,Policy Violation,N/A,Proxy Logs,104.160.63.185,10.0.28.78,POS Terminal,Sales,Faisal Al-Qahtani,Resolved,Yes,10.44
ALT-00194,2026-04-03 08:57:51,2026-04-05 06:26:39,Medium,Data Exfiltration Attempt,Exfiltration,Email Gateway,96.217.128.117,10.0.27.79,File Server,Operations,Faisal Al-Qahtani,Resolved,Yes,45.48
ALT-00195,2026-04-03 15:02:06,2026-04-03 19:10:30,Critical,Privilege Escalation,Privilege Escalation,Wireshark,10.0.28.62,10.0.23.115,Sales CRM,Sales,Faisal Al-Qahtani,Escalated,Yes,4.14
ALT-00196,2026-04-03 16:42:56,2026-04-06 01:23:44,Low,Port Scan,Reconnaissance,EDR Agent,56.137.107.239,10.0.23.103,POS Terminal,Sales,Sara Alzahrani,Resolved,Yes,56.68
ALT-00197,2026-04-03 18:53:10,2026-04-04 07:01:34,High,Phishing Email,Initial Access,Proxy Logs,152.96.216.43,10.0.26.111,Employee Workstation,Operations,Omar Al-Dosari,Resolved,Yes,12.14
ALT-00198,2026-04-04 02:18:01,2026-04-04 04:22:13,High,Port Scan,Reconnaissance,Wireshark,10.0.13.133,10.0.0.223,Executive Laptop,Executive,Faisal Al-Qahtani,False Positive,No,2.07
ALT-00199,2026-04-04 09:22:55,2026-04-04 11:02:31,Low,DDoS Traffic,Impact,Email Gateway,92.181.166.173,10.0.16.126,Domain Controller,IT,Lama Al-Ghamdi,False Positive,No,1.66
ALT-00200,2026-04-04 21:35:11,2026-04-08 12:03:59,Low,DDoS Traffic,Impact,EDR Agent,10.0.9.223,10.0.2.232,POS Terminal,Sales,Sara Alzahrani,Resolved,Yes,86.48
ALT-00201,2026-04-05 12:58:21,2026-04-05 19:01:57,Critical,Unauthorized Access,Initial Access,Email Gateway,43.110.192.108,10.0.14.89,Web Server 01,IT,Omar Al-Dosari,Resolved,Yes,6.06
ALT-00202,2026-04-05 14:43:47,2026-04-05 21:56:23,Critical,Unauthorized Access,Initial Access,EDR Agent,10.0.30.193,10.0.21.240,Web Server 01,IT,Nouf Al-Harbi,Resolved,Yes,7.21
ALT-00203,2026-04-05 15:53:54,2026-04-06 07:04:06,High,Malware Detected,Execution,Email Gateway,10.0.22.141,10.0.24.44,File Server,Operations,Sara Alzahrani,Resolved,Yes,15.17
ALT-00204,2026-04-05 17:25:51,2026-04-06 00:49:51,High,C2 Communication,Command and Control,Proxy Logs,10.0.25.137,10.0.15.111,Employee Workstation,Operations,Lama Al-Ghamdi,Resolved,Yes,7.4
ALT-00205,2026-04-06 17:36:50,2026-04-06 17:52:26,Medium,C2 Communication,Command and Control,Email Gateway,192.186.26.29,10.0.12.95,Employee Workstation,Operations,Nouf Al-Harbi,False Positive,No,0.26
ALT-00206,2026-04-06 21:23:55,,Critical,Malicious Macro,Execution,EDR Agent,201.50.161.125,10.0.27.154,File Server,Operations,Faisal Al-Qahtani,In Progress,Yes,
ALT-00207,2026-04-07 08:38:06,2026-04-07 22:23:42,High,Malware Detected,Execution,Proxy Logs,10.0.8.41,10.0.14.93,Sales CRM,Sales,Omar Al-Dosari,Resolved,Yes,13.76
ALT-00208,2026-04-07 09:29:26,2026-04-07 12:00:02,Medium,Port Scan,Reconnaissance,EDR Agent,10.0.20.168,10.0.28.170,Finance ERP App,Finance,Sara Alzahrani,Resolved,Yes,2.51
ALT-00209,2026-04-07 10:36:48,2026-04-07 19:46:24,High,Malware Detected,Execution,Wireshark,142.196.2.10,10.0.17.53,Employee Workstation,Operations,Lama Al-Ghamdi,Resolved,Yes,9.16
ALT-00210,2026-04-07 13:40:52,2026-04-10 07:19:52,Low,Data Exfiltration Attempt,Exfiltration,Firewall/IDS,104.210.253.74,10.0.21.243,Database Server (SQL),IT,Omar Al-Dosari,Resolved,Yes,65.65
ALT-00211,2026-04-07 17:03:31,2026-04-09 02:28:07,Medium,Policy Violation,N/A,Firewall/IDS,57.185.243.184,10.0.11.212,Employee Workstation,Operations,Lama Al-Ghamdi,Resolved,Yes,33.41
ALT-00212,2026-04-08 11:23:28,2026-04-08 11:30:04,Medium,Suspicious PowerShell,Execution,Email Gateway,102.8.184.224,10.0.1.250,Database Server (SQL),IT,Omar Al-Dosari,False Positive,No,0.11
ALT-00213,2026-04-08 13:45:18,2026-04-10 02:15:18,Medium,Brute Force Login,Credential Access,Proxy Logs,35.141.64.180,10.0.27.35,Sales CRM,Sales,Sara Alzahrani,Resolved,Yes,36.5
ALT-00214,2026-04-08 14:15:20,2026-04-09 00:13:32,High,Phishing Email,Initial Access,Elastic SIEM,45.220.94.65,10.0.30.127,Email Gateway,IT,Nouf Al-Harbi,Resolved,Yes,9.97
ALT-00215,2026-04-08 17:08:32,2026-04-08 22:24:08,Medium,Malicious Macro,Execution,Elastic SIEM,10.0.14.104,10.0.18.107,POS Terminal,Sales,Nouf Al-Harbi,Resolved,Yes,5.26
ALT-00216,2026-04-08 21:39:07,2026-04-10 11:17:31,Low,Malware Detected,Execution,Firewall/IDS,10.0.19.132,10.0.12.130,VPN Gateway,IT,Nouf Al-Harbi,Resolved,Yes,37.64
ALT-00217,2026-04-09 12:43:20,2026-04-09 15:35:32,Low,Policy Violation,N/A,Elastic SIEM,186.139.171.70,10.0.8.207,Email Gateway,IT,Lama Al-Ghamdi,False Positive,No,2.87
ALT-00218,2026-04-09 15:15:51,2026-04-10 12:23:03,Medium,DDoS Traffic,Impact,Elastic SIEM,107.73.160.221,10.0.22.83,Database Server (SQL),IT,Sara Alzahrani,Resolved,Yes,21.12
ALT-00219,2026-04-10 09:04:21,2026-04-12 04:22:57,Medium,Malware Detected,Execution,Proxy Logs,10.0.19.254,10.0.19.230,Web Server 01,IT,Sara Alzahrani,Resolved,Yes,43.31
ALT-00220,2026-04-10 17:23:22,,Critical,Malicious Macro,Execution,EDR Agent,133.71.63.249,10.0.18.126,POS Terminal,Sales,Nouf Al-Harbi,In Progress,Yes,
ALT-00221,2026-04-11 11:34:46,2026-04-11 14:16:10,Critical,Malware Detected,Execution,EDR Agent,163.177.187.115,10.0.20.185,Domain Controller,IT,Lama Al-Ghamdi,False Positive,No,2.69
ALT-00222,2026-04-11 14:34:47,2026-04-11 23:51:35,High,Privilege Escalation,Privilege Escalation,Wireshark,10.0.10.173,10.0.21.206,Executive Laptop,Executive,Omar Al-Dosari,Resolved,Yes,9.28
ALT-00223,2026-04-11 15:48:42,2026-04-11 18:18:06,High,Data Exfiltration Attempt,Exfiltration,Firewall/IDS,86.54.222.137,10.0.0.3,Finance ERP App,Finance,Faisal Al-Qahtani,Resolved,Yes,2.49
ALT-00224,2026-04-12 08:19:18,2026-04-13 17:54:42,Medium,Data Exfiltration Attempt,Exfiltration,Email Gateway,10.0.28.127,10.0.11.194,Executive Laptop,Executive,Nouf Al-Harbi,Resolved,Yes,33.59
ALT-00225,2026-04-12 10:17:05,2026-04-12 14:51:53,Medium,Policy Violation,N/A,Proxy Logs,10.0.26.192,10.0.17.156,Web Server 01,IT,Faisal Al-Qahtani,Resolved,Yes,4.58
ALT-00226,2026-04-12 13:49:00,2026-04-12 17:09:24,Medium,Malicious Macro,Execution,EDR Agent,10.0.10.215,10.0.10.238,HR Portal,HR,Lama Al-Ghamdi,Resolved,Yes,3.34
ALT-00227,2026-04-12 17:02:53,2026-04-13 01:21:29,High,Privilege Escalation,Privilege Escalation,Proxy Logs,199.185.62.137,10.0.27.62,Email Gateway,IT,Faisal Al-Qahtani,Resolved,Yes,8.31
ALT-00228,2026-04-13 02:50:08,2026-04-14 22:33:56,Low,Phishing Email,Initial Access,Elastic SIEM,10.0.1.145,10.0.1.77,Database Server (SQL),IT,Nouf Al-Harbi,Resolved,Yes,43.73
ALT-00229,2026-04-13 11:26:32,2026-04-13 13:02:32,Low,Suspicious PowerShell,Execution,Proxy Logs,189.244.192.81,10.0.30.46,POS Terminal,Sales,Sara Alzahrani,False Positive,No,1.6
ALT-00230,2026-04-13 11:38:34,2026-04-13 22:17:34,Medium,Policy Violation,N/A,Proxy Logs,10.0.26.57,10.0.30.36,Employee Workstation,Operations,Sara Alzahrani,Resolved,Yes,10.65
ALT-00231,2026-04-13 13:50:24,2026-04-14 13:02:24,Medium,Data Exfiltration Attempt,Exfiltration,Wireshark,134.76.166.23,10.0.25.161,Executive Laptop,Executive,Faisal Al-Qahtani,Resolved,Yes,23.2
ALT-00232,2026-04-14 04:35:54,2026-04-14 17:10:06,Medium,DDoS Traffic,Impact,Elastic SIEM,10.0.8.43,10.0.22.121,Database Server (SQL),IT,Faisal Al-Qahtani,Resolved,Yes,12.57
ALT-00233,2026-04-14 12:38:41,2026-04-15 11:21:17,Medium,Port Scan,Reconnaissance,Firewall/IDS,10.0.27.7,10.0.4.188,Database Server (SQL),IT,Lama Al-Ghamdi,Resolved,Yes,22.71
ALT-00234,2026-04-14 18:13:24,2026-04-15 00:12:48,High,Suspicious PowerShell,Execution,Email Gateway,10.0.30.158,10.0.10.95,HR Portal,HR,Nouf Al-Harbi,Resolved,Yes,5.99
ALT-00235,2026-04-15 09:14:43,2026-04-16 22:20:43,Medium,Suspicious PowerShell,Execution,Proxy Logs,10.0.16.168,10.0.14.236,Email Gateway,IT,Nouf Al-Harbi,Resolved,Yes,37.1
ALT-00236,2026-04-15 13:38:58,,Medium,Privilege Escalation,Privilege Escalation,EDR Agent,54.70.211.155,10.0.22.228,Finance ERP App,Finance,Nouf Al-Harbi,In Progress,Yes,
ALT-00237,2026-04-15 15:34:41,2026-04-17 06:30:29,Medium,Unauthorized Access,Initial Access,Email Gateway,101.104.189.81,10.0.13.13,HR Portal,HR,Omar Al-Dosari,Resolved,Yes,38.93
ALT-00238,2026-04-15 16:11:25,2026-04-15 20:34:49,Critical,Privilege Escalation,Privilege Escalation,Email Gateway,202.63.106.248,10.0.21.231,Sales CRM,Sales,Lama Al-Ghamdi,Resolved,Yes,4.39
ALT-00239,2026-04-16 00:13:59,,Low,C2 Communication,Command and Control,Proxy Logs,200.104.203.235,10.0.7.143,Employee Workstation,Operations,Omar Al-Dosari,In Progress,Yes,
ALT-00240,2026-04-16 03:33:49,2026-04-16 04:16:25,Low,DDoS Traffic,Impact,Email Gateway,10.0.9.72,10.0.17.83,Email Gateway,IT,Nouf Al-Harbi,False Positive,No,0.71
ALT-00241,2026-04-16 08:22:56,2026-04-16 10:21:44,Critical,Privilege Escalation,Privilege Escalation,Elastic SIEM,59.210.63.234,10.0.15.3,HR Portal,HR,Sara Alzahrani,Resolved,Yes,1.98
ALT-00242,2026-04-16 10:02:09,2026-04-17 14:22:33,Medium,Unauthorized Access,Initial Access,Email Gateway,10.0.25.183,10.0.10.136,File Server,Operations,Nouf Al-Harbi,Resolved,Yes,28.34
ALT-00243,2026-04-16 12:11:37,2026-04-16 13:12:13,Critical,Brute Force Login,Credential Access,EDR Agent,150.59.197.231,10.0.18.50,Executive Laptop,Executive,Nouf Al-Harbi,False Positive,No,1.01
ALT-00244,2026-04-16 15:38:45,2026-04-18 09:39:57,Medium,Port Scan,Reconnaissance,Firewall/IDS,10.0.13.72,10.0.20.252,Database Server (SQL),IT,Omar Al-Dosari,Resolved,Yes,42.02
ALT-00245,2026-04-16 18:58:33,2026-04-17 11:11:09,Medium,Malicious Macro,Execution,Email Gateway,107.248.98.58,10.0.4.41,VPN Gateway,IT,Nouf Al-Harbi,Resolved,Yes,16.21
ALT-00246,2026-04-16 19:17:56,2026-04-17 03:01:08,Critical,Privilege Escalation,Privilege Escalation,Wireshark,10.0.12.178,10.0.27.124,HR Portal,HR,Sara Alzahrani,Resolved,Yes,7.72
ALT-00247,2026-04-17 20:03:03,2026-04-18 08:45:03,Medium,Unauthorized Access,Initial Access,Email Gateway,185.177.224.188,10.0.6.7,POS Terminal,Sales,Sara Alzahrani,Resolved,Yes,12.7
ALT-00248,2026-04-17 23:43:25,2026-04-18 16:36:49,High,Unauthorized Access,Initial Access,Email Gateway,31.88.171.17,10.0.3.72,File Server,Operations,Lama Al-Ghamdi,Resolved,Yes,16.89
ALT-00249,2026-04-18 08:01:56,,Low,Policy Violation,N/A,Firewall/IDS,10.0.1.217,10.0.11.68,Domain Controller,IT,Omar Al-Dosari,In Progress,Yes,
ALT-00250,2026-04-18 08:33:37,2026-04-19 12:17:25,Medium,DDoS Traffic,Impact,Wireshark,10.0.11.52,10.0.6.165,Email Gateway,IT,Lama Al-Ghamdi,Escalated,Yes,27.73
ALT-00251,2026-04-18 13:03:42,2026-04-18 18:43:18,Critical,C2 Communication,Command and Control,Firewall/IDS,49.172.86.6,10.0.17.85,File Server,Operations,Lama Al-Ghamdi,Resolved,Yes,5.66
ALT-00252,2026-04-18 14:09:53,2026-04-18 14:43:29,Low,Policy Violation,N/A,Elastic SIEM,146.84.38.193,10.0.15.84,Executive Laptop,Executive,Sara Alzahrani,False Positive,No,0.56
ALT-00253,2026-04-18 16:24:29,2026-04-22 03:09:29,Low,Unauthorized Access,Initial Access,Wireshark,101.242.195.99,10.0.21.204,POS Terminal,Sales,Lama Al-Ghamdi,Resolved,Yes,82.75
ALT-00254,2026-04-19 00:21:00,2026-04-20 02:43:12,Medium,DDoS Traffic,Impact,Proxy Logs,10.0.15.248,10.0.1.250,POS Terminal,Sales,Nouf Al-Harbi,Resolved,Yes,26.37
ALT-00255,2026-04-19 12:16:14,,Low,Malicious Macro,Execution,Elastic SIEM,69.110.247.71,10.0.23.152,HR Portal,HR,Lama Al-Ghamdi,In Progress,Yes,
ALT-00256,2026-04-19 16:48:21,2026-04-22 03:32:09,Low,Malicious Macro,Execution,EDR Agent,117.145.223.163,10.0.9.181,Database Server (SQL),IT,Nouf Al-Harbi,Resolved,Yes,58.73
ALT-00257,2026-04-19 17:26:17,2026-04-19 20:46:41,High,Brute Force Login,Credential Access,Email Gateway,165.177.147.29,10.0.0.129,Executive Laptop,Executive,Nouf Al-Harbi,Escalated,Yes,3.34
ALT-00258,2026-04-19 22:36:06,2026-04-21 16:55:54,Medium,Port Scan,Reconnaissance,Wireshark,68.2.3.148,10.0.16.32,Database Server (SQL),IT,Sara Alzahrani,Resolved,Yes,42.33
